,Date,Type,Name,Lot,Brand,Batch,Changes,Amount,Units,Cost,Subset,Brew Process,Date Received,Amounts,Volume (L)
50,2022-07-27,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.039,KG,($0.50),1.0,Boil Adjuncts,8/9/2021,0.039,300.00
51,2022-07-27,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.028,KG,($0.33),1.0,Boil Adjuncts,8/9/2021,0.028,300.00
52,2022-07-27,Adjuncts,MgSO4,82094,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.014,KG,($0.20),1.0,Boil Adjuncts,14/10/2020,0.014,300.00
53,2022-07-27,Adjuncts,Fermcap AT Antifoam,4039804,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.005,L,($0.23),1.0,Kettle Finings,12/7/2021,0.005,300.00
54,2022-07-27,Adjuncts,Tetrahop 9%,1018,Froth Rookies Keith's Mid Strength Lager (450.00),27/07/2022,Subtract,-0.055,KG,($4.17),,"BBT, Conditioning",18/01/2021,0.055,450.00
55,2022-07-27,Adjuncts,Bioglucanase,21042020,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.02,L,($1.19),1.0,Vorlauf,14/10/2020,0.02,300.00
56,2022-07-27,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.022,KG,($0.28),1.0,"Mash In, Water Additives",8/9/2021,0.022,300.00
57,2022-07-27,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.016,KG,($0.19),1.0,"Mash In, Water Additives",8/9/2021,0.016,300.00
58,2022-07-27,Adjuncts,MgSO4,82094,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.008,KG,($0.12),1.0,"Mash In, Water Additives",14/10/2020,0.008,300.00
59,2022-07-27,Adjuncts,NaHCO3 (Sodium Bicarbonate),BB 10/02/2022,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-0.016,KG,($1.60),1.0,"Mash In, Water Additives",10/5/2021,0.016,300.00
60,2022-07-27,Grain,BB Border Malt,3.466,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-31.5,KG,($60.29),1.0,"Mash In, Grain",15/02/2022,31.5,300.00
61,2022-07-27,Grain,BB Border Malt,3.4897,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-11.5,KG,($39.40),1.0,"Mash In, Grain",13/07/2022,11.5,300.00
62,2022-07-27,Grain,WEY Carafa Special III,8/7/2022,Froth Rookies Dark Ale (300.00),27/07/2022,Subtract,-2.5,KG,($20.59),1.0,"Mash In, Grain",8/7/2022,2.5,300.00
63,2022-07-20,Adjuncts,Fermcap AT Antifoam,4039804,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.01,L,($0.46),1.0,Boil Adjuncts,12/7/2021,0.01,450.00
64,2022-07-20,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.054,KG,($0.69),1.0,Kettle Finings,8/9/2021,0.054,450.00
65,2022-07-20,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.038,KG,($0.45),1.0,Kettle Finings,8/9/2021,0.038,450.00
66,2022-07-20,Adjuncts,Whirlfloc G,3102468,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.02,KG,($1.30),1.0,Kettle Finings,14/10/2020,0.02,450.00
67,2022-07-20,Adjuncts,Yeast Nutrient,9918,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.02,KG,($0.70),1.0,Kettle Finings,14/10/2020,0.02,450.00
68,2022-07-20,Adjuncts,MgSO4,82094,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.0192,KG,($0.28),1.0,Kettle Finings,14/10/2020,0.0192,450.00
69,2022-07-20,Adjuncts,ZnSO4 (Zinc Sulfate),ENZ10032,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.0005,L,($0.02),1.0,Boil Adjuncts,15/02/2022,0.0005,450.00
